term,variable type,running gear back mount inset,running gear drive gear radius,running gear drive gear weight,running gear drive gear width,running gear front mount inset,running gear height ,running gear inset mount height,running gear mattrack climb height,running gear mattrack length,running gear mattrack weight per mattrack,running gear mattrack width,running gear road wheel radius ,running gear road wheel weight,running gear road wheel width,running gear suspension weight,running gear track weight per inch,running gear track width,running gear wheel radius,running gear wheel weight,running gear wheel width,lower cargo storage volume,smet climb height,smet fcc curb-to-curb turning diameter,smet fcc height,smet fcc length,smet fcc weight,smet fcc width,smet ground clearance,smet platform sprung weight,total fcc load volume,total fcc load weight,upper cargo storage length,upper cargo storage width,total,value,local/global
running gear back mount inset,function,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
running gear drive gear radius,function,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
running gear drive gear weight,function,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
running gear drive gear width,function,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
running gear front mount inset,function,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
running gear height,function,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
running gear inset mount height,function,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
running gear mattrack climb height,function,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
running gear mattrack length,function,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
running gear mattrack weight per mattrack,function,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
running gear mattrack width,function,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
running gear road wheel radius,function,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
running gear road wheel weight,function,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
running gear road wheel width,function,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
running gear suspension weight,function,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
running gear track weight per inch,function,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
running gear track width,function,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
running gear wheel radius,function,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
running gear wheel weight,function,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
running gear wheel width,function,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lower cargo storage volume (in3),function,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smet climb height (in),function,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smet fcc curb-to-curb turning diameter (in),function,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smet fcc height (in),function,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smet fcc length (in),function,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smet fcc weight (lbf),function,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smet width (in),function,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smet ground clearance (in),function,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smet platform sprung weight (lbf),function,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total fcc load volume (in3),function,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total fcc load weight (lbf),function,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
upper cargo storage length (in),function,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
