"frame_axle_mount_inset","frame_underbody_length","frame_underbody_width","offload_generator_height","offload_generator_length","offload_generator_width","running_gear_back_mount_inset","running_gear_front_mount_inset","running_gear_drive_gear_radius","running_gear_track_width","running_gear_road_wheel_radius","running_gear_wheel_radius","winch_stowed_width","back_deck_overhang_in","running_gear_contact_patch_area_in2","smet_fcc_length_in","smet_fcc_ctoc_turning_diameter_in"
10,49,27,24.8283224110492,34.3393774982542,36.7776104272343,9,11,1,14,4,20,7.03279717150144,0,693.224,56.0327971715014,131.807438179446
7,69,53,15.7915123808198,20.7642144663259,17.8928326163441,10,10,2,14,4,14,2.4668682354968,3,1460.816,75,215.910658616191
6,130,24,38.3568272646517,16.695639428217,34.5868778252043,15,11,1,14,3,19,5.73332605697215,9,3224.816,144.733326056972,235.699231212919
3,68,41,18.4882555669174,17.5560828181915,21.721328406129,10,6,1,14,1,12,8.52883949805982,7,1736,83.5288394980598,200.553833349161
9,118,18,17.1032480685972,13.5251344717108,38.9429090940394,16,14,2,15,1,18,2.7113407291472,7,3042.42,130,204.473924756711
10,131,50,34.0571895521134,14.7432643966749,31.7832791130058,7,9,1,14,5,13,4.63053689221852,0,2949.632,135.630536892219,279.056056479949
14,92,27,16.7859143414535,27.5521366437897,16.0277737420984,8,8,1,15,1,11,5.75251623941585,0,1920,97.7525162394159,178.023311844295
12,56,21,11.5326289553195,31.2064148625359,30.6381009775214,15,18,3,15,1,15,5.13134734635241,3,1044.84,65,126.511655922148
7,109,44,29.1217562160455,14.7861943463795,19.9429301614873,14,10,2,15,5,20,4.24347504694015,7,2722.74,120.24347504694,250.300228518875
6,77,24,30.025311994832,10.128858035896,11.3594577880576,20,17,3,14,2,11,8.3794998426456,14,1859.592,102,170.258051091862
6,113,38,27.2552686114796,31.2612311961129,12.0717128179967,10,7,3,14,2,17,6.20442412886769,4,2867.592,123.204424128868,242.708664004278
4,69,55,31.1261635809205,30.4917951999232,14.2535835201852,5,5,3,15,2,12,3.88573734904639,1,1872.42,73.8857373490464,230.319094101594
7,46,40,29.9540844606236,30.0574108911678,32.8205927717499,19,8,1,14,1,12,7.22052651597187,12,896,65.2205265159719,161.511655922148
6,55,19,34.9106487352401,21.3045460451394,14.9879465042613,19,12,2,15,1,15,6.19699193350971,13,1332.42,74.1969919335097,136.093787645386
2,98,28,22.0447197975591,15.396745884791,14.0819740272127,19,19,2,14,4,19,4.6270291924011,17,2552.816,132,214.065489271308
7,78,51,37.2163249109872,20.7641160488129,38.6421386362053,18,8,2,15,1,14,2.59662174503319,11,1962.42,91.5966217450332,226.023311844295
7,80,48,11.1811422347091,23.5516635351814,25.6375117832795,7,20,2,14,3,20,2.52619060524739,0,1808.408,93,219.492790339429
7,119,30,37.3350240732543,37.170686761383,20.0964410090819,6,17,3,15,1,19,5.50195762235671,0,3234.84,129,234.647620994547
11,76,50,39.8817687784322,30.5566464248113,34.4242350687273,8,7,2,14,3,17,2.24137760791928,0,1472.408,78.2413776079193,208.675919368624
8,132,45,21.8863285239786,27.0572170219384,36.4881982235238,17,10,2,15,4,20,8.46817275788635,9,3395.16,149.468172757886,278.229752717785
2,110,31,27.1103147300892,24.1884805494919,36.5267023677006,13,6,3,15,5,13,3.25885915220715,11,3095.16,125,237.882360242114
13,58,35,13.4985076170415,39.9276275746524,17.4003720493056,17,7,3,14,3,18,8.33995154616423,4,896,70.3399515461642,151.511655922148
12,37,53,25.3241353621706,37.966316784732,20.5487431376241,17,8,2,15,1,18,6.97923632804304,5,432.42,48.979236328043,167.051610218372
3,78,17,13.7933098524809,24.1896675946191,15.4656574362889,7,6,2,15,5,16,4.51115781860426,4,2032.74,86.5111578186043,167.901225824832
3,65,54,37.0511879376136,21.1964954761788,27.0739251095802,10,19,3,15,2,18,5.71494058240205,7,1812.42,88,225.84961560646
8,43,51,35.4030063515529,29.110406015534,17.231196758803,20,13,2,15,5,12,8.22979866014794,12,682.74,63.2297986601479,180.337959684312
2,70,33,39.7908136667684,36.887174139265,20.6303475378081,17,13,3,14,1,16,4.21151079726405,15,1927.184,96,189.492790339429
9,62,58,25.1197734219022,26.176848995965,19.1984523506835,18,9,3,15,4,15,8.03051109658554,9,1277.58,79.0305110965855,215.328526892953
2,104,50,23.824015611317,20.6005727057345,28.9303347608075,17,7,3,14,5,18,2.75083201471716,15,2720.816,124,265.473924756711
3,61,28,22.4330760375597,29.5856596739031,28.9773957105353,11,8,1,14,1,13,5.88471006043255,8,1540,74.8847100604326,165.910658616191
4,128,58,28.7590897339396,16.7176879826002,17.7259691176005,9,11,3,14,5,16,8.05820299289189,5,3280.816,141.058202992892,306.168709708053
4,37,50,19.210602324456,18.7510899570771,36.1614471487701,7,10,3,15,3,20,8.02931534731761,3,870,48.0293153473176,180.807438179446
14,34,27,16.879281681031,23.5260244458914,11.6208847728558,19,11,3,15,2,13,3.635051244637,5,222.42,42.635051244637,106.408435485403
